qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
4246,98,23,3,4,6,01:11.1,,
4247,98,8,1,6,7,01:11.1,,
4248,98,44,7,17,8,01:11.2,,
4249,98,4,4,8,9,01:11.2,,
4250,98,17,19,14,10,01:11.3,,
4251,98,43,7,16,11,01:11.7,,
4252,98,14,1,5,12,01:12.0,,
4253,98,32,19,15,13,01:12.2,,
4254,98,21,15,11,14,01:12.5,,
4255,98,13,15,12,15,01:12.7,,
4256,98,2,17,18,16,01:13.1,,
4257,98,45,17,19,17,01:13.4,,
4258,98,46,18,20,18,01:14.0,,
4259,98,47,18,21,19,01:14.8,,
4260,98,15,4,7,20,,,
4261,99,4,4,8,1,01:13.7,,
4262,99,30,6,1,2,01:14.0,,
4263,99,14,1,5,3,01:14.0,,
4264,99,18,16,9,4,01:14.0,,
4265,99,15,4,7,5,01:14.1,,
4266,99,31,3,3,6,01:14.2,,
4267,99,11,16,10,7,01:14.2,,
4268,99,48,3,4,8,01:14.3,,
4269,99,8,1,6,9,01:14.3,,
4270,99,22,6,2,10,01:14.5,,
4271,99,43,7,16,11,01:14.6,,
4272,99,17,19,14,12,01:14.8,,
4273,99,32,19,15,13,01:15.1,,
4274,99,44,7,17,14,01:15.1,,
4275,99,21,15,11,15,01:16.2,,
4276,99,13,15,12,16,01:16.2,,
4277,99,2,17,18,17,01:16.8,,
4278,99,45,17,19,18,01:17.5,,
4279,99,46,18,20,19,01:17.9,,
4280,99,47,18,21,20,01:18.2,,
4281,100,8,1,6,1,01:18.2,,
4282,100,22,6,2,2,01:18.3,,
4283,100,18,16,9,3,01:18.6,,
4284,100,30,6,1,4,01:18.7,,
4285,100,15,4,7,5,01:18.7,,
4286,100,4,4,8,6,01:18.8,,
4287,100,14,1,5,7,01:19.1,,
4288,100,31,3,3,8,01:19.4,,
4289,100,11,16,10,9,01:19.7,,
4290,100,17,19,14,10,01:20.0,,
4291,100,13,15,12,11,01:20.2,,
4292,100,44,7,17,12,01:20.3,,
4293,100,48,3,4,13,01:20.3,,
4294,100,43,7,16,14,01:20.5,,
4295,100,32,19,15,15,01:21.6,,
4296,100,45,17,19,16,01:22.5,,
4297,100,2,17,18,17,01:22.7,,
4298,100,46,18,20,18,01:23.4,,
4299,100,47,18,21,19,01:24.1,,
4300,100,21,15,11,20,,,
4301,101,30,6,1,1,01:13.3,,
4302,101,31,3,3,2,01:13.7,,
4303,101,18,16,9,3,01:13.7,,
4304,101,8,1,6,4,01:13.7,,
4305,101,14,1,5,5,01:13.8,,
4306,101,4,4,8,6,01:13.9,,
4307,101,15,4,7,7,01:14.1,,
4308,101,22,6,2,8,01:14.3,,
4309,101,11,16,10,9,01:14.3,,
4310,101,44,7,17,10,01:14.4,,
4311,101,42,3,4,11,01:14.6,,
4312,101,17,19,14,12,01:14.8,,
4313,101,32,19,15,13,01:15.0,,
4314,101,21,15,11,14,01:15.4,,
4315,101,43,7,16,15,01:15.5,,
4316,101,13,15,12,16,01:15.6,,
4317,101,45,17,19,17,01:16.2,,
4318,101,2,17,18,18,01:16.3,,
4319,101,46,18,20,19,01:18.1,,
4320,101,47,18,21,20,01:18.4,,
4321,102,30,6,1,1,01:19.1,,
4322,102,22,6,2,2,01:19.3,,
4323,102,11,16,10,3,01:19.7,,
4324,102,18,16,9,4,01:19.7,,
4325,102,4,4,8,5,01:20.0,,
4326,102,42,3,4,6,01:20.2,,
4327,102,31,3,3,7,01:20.2,,
4328,102,21,15,11,8,01:20.3,,
4329,102,15,4,7,9,01:20.4,,
4330,102,8,1,6,10,01:20.6,,
4331,102,17,19,14,11,01:20.7,,
4332,102,14,1,5,12,01:20.9,,
4333,102,44,7,17,13,01:21.1,,
4334,102,32,19,15,14,01:21.1,,
4335,102,41,7,16,15,01:21.1,,
4336,102,2,17,18,16,01:22.2,,
4337,102,45,17,19,17,01:22.4,,
4338,102,47,18,21,18,01:24.3,,
4339,102,46,18,20,19,01:24.7,,
4340,102,13,15,12,20,,,
4341,103,15,4,7,1,01:56.2,,
4342,103,30,6,1,2,01:56.3,,
4343,103,4,4,8,3,01:56.7,,
4344,103,14,1,5,4,01:58.0,,
4345,103,21,15,11,5,01:58.0,,
4346,103,22,6,2,6,01:58.2,,
4347,103,17,19,14,7,01:58.7,,
4348,103,13,15,12,8,01:59.0,,
4349,103,44,7,17,9,01:59.6,,
4350,103,8,1,6,10,01:59.6,,
4351,103,31,3,3,11,01:59.7,,
4352,103,18,16,9,12,02:00.2,,
4353,103,32,19,15,13,02:01.2,,
4354,103,42,3,4,14,02:01.4,,
4355,103,11,16,10,15,02:01.8,,
4356,103,2,17,18,16,02:02.6,,
4357,103,46,18,20,17,02:02.7,,
4358,103,47,18,21,18,02:03.3,,
4359,103,45,17,19,19,02:03.8,,
4360,103,41,7,16,20,02:03.9,,
4361,105,22,6,2,1,01:34.0,,
4362,105,8,1,6,2,01:34.2,,
4363,105,18,16,9,3,01:34.3,,
4364,105,13,15,12,4,01:34.8,,
4365,105,23,3,4,5,01:34.9,,
4366,105,4,4,8,6,01:34.9,,
4367,105,21,15,11,7,01:35.0,,
4368,105,44,7,17,8,01:35.0,,
4369,105,11,16,10,9,01:35.0,,
4370,105,14,1,5,10,01:35.0,,
4371,105,31,3,3,11,01:35.2,,
4372,105,17,19,14,12,01:35.3,,
4373,105,35,4,7,13,01:35.4,,
4374,105,41,7,16,14,01:35.4,,
4375,105,2,17,18,15,01:36.5,,
4376,105,32,19,15,16,01:36.5,,
4377,105,10,17,19,17,01:37.1,,
4378,105,47,18,21,18,01:40.2,,
4379,105,46,18,20,19,,,
4380,105,30,6,1,20,,,
4381,106,30,6,1,1,01:33.5,,
4382,106,23,3,4,2,01:34.0,,
4383,106,17,19,14,3,01:34.6,,
4384,106,11,16,10,4,01:34.9,,
4385,106,18,16,9,5,01:35.2,,
4386,106,15,7,16,6,01:35.2,,
4387,106,21,15,11,7,01:36.1,,
4388,106,14,1,5,8,01:36.2,,
4389,106,35,4,7,9,01:36.3,,
4390,106,44,7,17,10,01:36.4,,
4391,106,4,4,8,11,01:36.7,,
4392,106,8,1,6,12,01:36.8,,
4393,106,31,3,3,13,01:37.7,,
4394,106,32,19,15,14,01:38.3,,
4395,106,22,6,2,15,01:38.6,,
4396,106,2,17,18,16,01:42.0,,
4397,106,10,17,19,17,01:43.5,,
4398,106,46,18,20,18,01:48.1,,
4399,106,47,18,21,19,,,
4400,106,13,15,12,20,,,
4401,107,22,6,2,1,01:10.6,,
4402,107,31,3,3,2,01:10.8,,
4403,107,8,1,6,3,01:10.9,,
4404,107,13,15,12,4,01:10.9,,
4405,107,18,16,9,5,01:11.1,,
4406,107,11,16,10,6,01:11.1,,
4407,107,23,3,4,7,01:11.1,,
4408,107,30,6,1,8,01:11.4,,
4409,107,4,4,8,9,01:11.5,,
4410,107,15,7,16,10,01:11.5,,
4411,107,21,15,11,11,01:11.6,,
4412,107,17,19,14,12,01:11.7,,
4413,107,14,1,5,13,01:11.8,,
4414,107,35,4,7,14,01:11.8,,
4415,107,41,7,17,15,01:12.0,,
